,RCH1_0,RCH1_1,RCH1_2,RCH1_3,RCH1_4,RCH1_5,RCH1_6,RCH1_7,RCH1_8,RCH1_9,RCH1_10,RCH2_0,RCH2_1,RCH2_2,RCH2_3,RCH2_4,RCH2_5,RCH2_6,RCH2_7,RCH2_8,RCH2_9,RCH2_10,RCH3_0,RCH3_1,RCH3_2,RCH3_3,RCH3_4,RCH3_5,RCH3_6,RCH3_7,RCH3_8,RCH3_9,RCH3_10,RCH4_0,RCH4_1,RCH4_2,RCH4_3,RCH4_4,RCH4_5,RCH4_6,RCH4_7,RCH4_8,RCH4_9,RCH4_10,RCH5_0,RCH5_1,RCH5_2,RCH5_3,RCH5_4,RCH5_5,RCH5_6,RCH5_7,RCH5_8,RCH5_9,RCH5_10
80,0.00642,0.176401,0.346874,0.517347,0.68782,0.858781,1.02925,1.2007,1.37313,1.54507,1.718,0.00642,0.206686,0.406955,0.607712,0.808958,1.00972,1.21194,1.41416,1.61736,1.82157,2.02627,0.00642,0.202778,0.399139,0.595501,0.791862,0.988712,1.18556,1.3829,1.58122,1.77956,1.97888,0.00642,0.20522,0.404512,0.603316,0.803097,1.00288,1.20266,1.40342,1.60466,1.80643,2.00868,0.00642,0.221828,0.437239,0.652651,0.869528,1.08543,1.3023,1.52113,1.7395,1.95934,2.18065
81,0.00642,0.173959,0.341501,0.509043,0.676585,0.844616,1.01265,1.18068,1.34968,1.5182,1.68771,0.00642,0.214501,0.422097,0.63067,0.839731,1.04879,1.25932,1.47082,1.68332,1.8973,2.11274,0.00642,0.197405,0.388393,0.57987,0.771347,0.963312,1.15528,1.34773,1.54067,1.73461,1.92856,0.00642,0.207663,0.408909,0.610155,0.811401,1.01314,1.21585,1.41905,1.62176,1.82646,2.03115,0.00642,0.229155,0.451405,0.673655,0.896881,1.1206,1.3448,1.56998,1.79568,2.02236,2.251
82,0.00642,0.172982,0.339059,0.505135,0.671701,0.839243,1.00532,1.17286,1.3404,1.50843,1.67697,0.0069,0.21157,0.416724,0.622855,0.828497,1.03463,1.24173,1.44982,1.65889,1.86896,2.07952,0.00642,0.206197,0.405978,0.606247,0.806516,1.00679,1.20803,1.40928,1.61101,1.81376,2.0165,0.00642,0.221339,0.437239,0.652651,0.868551,1.08494,1.30133,1.51869,1.73706,1.95543,2.17527,0.00642,0.235993,0.466059,0.695635,0.926189,1.15772,1.38974,1.62274,1.85724,2.09271,2.33014
83,0.00642,0.174447,0.342478,0.51002,0.678539,0.847058,1.01558,1.18459,1.35359,1.52358,1.69309,0.00642,0.219386,0.432843,0.646301,0.860247,1.07468,1.2896,1.5055,1.7224,1.94078,2.15964,0.00642,0.21157,0.416724,0.621878,0.82752,1.03267,1.2388,1.44542,1.65254,1.86017,2.06828,0.00642,0.22427,0.442124,0.659489,0.87832,1.09666,1.31549,1.5353,1.75611,1.97742,2.19921,0.00593,0.243809,0.481689,0.71957,0.958427,1.19729,1.43663,1.67794,1.91977,2.16257,2.40733
84,0.00642,0.173959,0.341501,0.509043,0.677074,0.845593,1.01362,1.18263,1.35115,1.52065,1.69113,0.00642,0.229155,0.451405,0.674631,0.898347,1.12304,1.34822,1.57487,1.80252,2.03164,2.26272,0.00642,0.211082,0.415747,0.620412,0.826055,1.03121,1.23734,1.44396,1.65107,1.85919,2.06828,0.00642,0.232086,0.458243,0.683424,0.91007,1.13672,1.36434,1.59245,1.82108,2.05118,2.28226,0.00642,0.261393,0.515882,0.771835,1.0273,1.28423,1.54165,1.80057,2.05998,2.32086,2.58418
85,0.00642,0.174936,0.342966,0.511974,0.680982,0.849501,1.01851,1.188,1.35799,1.52748,1.69846,0.00642,0.229643,0.45287,0.676097,0.900301,1.12499,1.35115,1.5778,1.80643,2.03653,2.26858,0.00642,0.216943,0.426982,0.637508,0.848035,1.05954,1.27104,1.48352,1.69651,1.91,2.12446,0.00642,0.242832,0.478759,0.715174,0.952078,1.18898,1.42637,1.66524,1.90511,2.14547,2.3873,0.00642,0.271162,0.536397,0.80212,1.06735,1.33454,1.60222,1.87091,2.14059,2.41172,2.68482
86,0.0069,0.175424,0.344432,0.512951,0.682447,0.851943,1.02144,1.19142,1.3619,1.53286,1.70432,0.0069,0.23062,0.455312,0.680005,0.905185,1.13037,1.35652,1.58268,1.81034,2.03897,2.26858,0.00642,0.225736,0.444566,0.663885,0.883693,1.1035,1.3238,1.54458,1.76637,1.98865,2.21191,0.00642,0.243809,0.480712,0.718593,0.956962,1.19582,1.43468,1.67501,1.91635,2.15866,2.40195,0.00642,0.278978,0.552028,0.825566,1.10008,1.3746,1.65107,1.92856,2.208,2.48842,2.7708
87,0.00642,0.175913,0.344432,0.513928,0.682935,0.852431,1.02193,1.1924,1.36287,1.53383,1.70481,0.00642,0.229643,0.45287,0.676097,0.899812,1.12499,1.35066,1.57731,1.80545,2.03457,2.26565,0.0069,0.22427,0.442612,0.660466,0.879297,1.09813,1.31696,1.53725,1.75806,1.97986,2.20165,0.0069,0.248693,0.491459,0.733735,0.976989,1.22122,1.46496,1.7097,1.95543,2.20214,2.44983,0.0069,0.278489,0.550562,0.824101,1.09715,1.37167,1.64668,1.92368,2.20165,2.4811,2.762
88,0.00642,0.172982,0.340036,0.506112,0.673166,0.839731,1.00727,1.17482,1.34285,1.51137,1.68039,0.0069,0.232574,0.458732,0.684889,0.912024,1.13965,1.36776,1.59685,1.82743,2.059,2.29252,0.00642,0.221828,0.437239,0.652651,0.869039,1.08543,1.30279,1.52065,1.73999,1.95983,2.18114,0.0069,0.245762,0.485597,0.725431,0.966243,1.20705,1.44835,1.69162,1.9354,2.18016,2.42638,0.00642,0.282886,0.559355,0.836801,1.11522,1.39413,1.67452,1.9569,2.24074,2.52653,2.81477
89,0.00642,0.172005,0.338082,0.50367,0.669747,0.835824,1.0019,1.16847,1.33601,1.50257,1.6711,0.00642,0.227689,0.448962,0.670235,0.892485,1.11522,1.33894,1.56363,1.78933,2.01699,2.2466,0.00642,0.220363,0.434309,0.648255,0.862689,1.07761,1.29302,1.50892,1.72631,1.94468,2.16355,0.00642,0.247716,0.489016,0.730316,0.972593,1.21487,1.45812,1.70188,1.94664,2.19286,2.44006,0.00642,0.281909,0.558378,0.834847,1.11278,1.3912,1.67061,1.9525,2.23634,2.52164,2.81086
